trial,miss_distance_m,final_altitude_m,flight_time_s,terrain_override_fired,control_saturated,rms_q_error,rms_theta_error,LAT_INIT,LON_INIT,LAT_TARGET,LON_TARGET,target_downrange_m
1,509.29965604149,769.631631859186,75.8,1,0,0.00474227225283009,0.0189893207337507,34.2540303096185,-119.460401214638,34.6553284695476,-118.782953007254,76480.5140103748
2,698.295991935854,773.883381898406,78.5,1,0,0.00457495435762556,0.00630340415991241,34.2350629663693,-119.451840310573,34.672500238495,-118.761678337523,79814.1228323944
3,661.390447140165,774.263451199831,78.1,1,0,0.00440408000710606,0.0144757565487175,34.2394742763205,-119.454532746954,34.6710675800965,-118.765467447117,79338.7928168941
4,552.918095473659,788.493698437058,79.3,1,0,0.00476286165282893,0.0263997916591671,34.2213374145892,-119.468064915791,34.650032654914,-118.764211383828,80242.9772530385
5,772.488863158747,790.074619231722,77.1,1,0,0.00478550913461021,0.0392472304123695,34.2486956165957,-119.445103004756,34.6800325440402,-118.767129595901,78508.592344567
6,518.465052423903,763.823885305536,76.2,1,0,0.00414822669190434,0.0150848895860599,34.2391054315364,-119.445642248046,34.6579529543997,-118.776353800645,77041.5442027328
7,667.997257745326,778.446725409101,78.2,1,0,0.00479626508525691,0.0235481813681175,34.2318806638572,-119.446919720747,34.6709039966036,-118.762676657955,79494.1376065307
8,527.294063988703,785.970010955008,77.7,0,0,0.00501837973026533,0.0208756557850938,34.2428454882034,-119.465903150238,34.638501042288,-118.758263860746,78400.4038340609
9,561.346464608326,782.481656379951,78.5,1,0,0.0044535463785771,0.0132551998255017,34.2508530837863,-119.481175936652,34.6584290626439,-118.768406395202,79528.9808253659
10,788.849858741471,790.443232776121,79.6,1,0,0.00474556499668824,0.0175304429446687,34.2388429421903,-119.473630919383,34.6760962511475,-118.766222147787,81059.0344573969
11,574.616855441297,794.635879186493,77.2,1,0,0.0042069036734488,0.0175449364574145,34.2397353190957,-119.457294056537,34.6707085270514,-118.781987540202,78295.7716222423
12,552.799865162385,763.942439457063,78.9,1,0,0.00486199645207264,0.0227980757381612,34.2250620218462,-119.465945776374,34.657489715474,-118.771076426348,79827.5806802054
13,532.566561327005,774.844377781229,77.7,1,0,0.00459440928190826,0.0174870506862046,34.240873239209,-119.473841864822,34.6590916249809,-118.784843517379,78446.4269895782
14,516.305219302002,763.108780076136,76.2,1,0,0.00543206600448936,0.0162229682309021,34.2401086234572,-119.447108466122,34.6594266860639,-118.779781328354,76929.3404942362
15,690.117556909143,762.733395349249,78.8,1,0,0.00415163045538705,0.0400804982673464,34.2324854555189,-119.460556169099,34.6694572174497,-118.766660773158,80056.0681146905
16,533.815423065742,771.473280697295,77.6,1,0,0.00464950365783302,0.038537995863117,34.2303537162627,-119.461998157613,34.6617342235377,-118.786806901754,78320.5235688323
17,774.655580705201,782.76309742556,78.7,1,0,0.00476845287105494,0.0122106779604545,34.2272092488952,-119.449803174808,34.6772769027746,-118.766909411986,80156.9533979468
18,610.59909828219,788.392232190292,76.1,1,0,0.00472658699936109,0.00796381775899548,34.2596174042497,-119.450178272656,34.6695284815396,-118.769860503766,77249.5119587589
19,530.141753849168,755.701443009785,77.1,1,0,0.00505129225966942,0.0202982728246771,34.2267464475137,-119.451932842765,34.6588560459046,-118.78352646722,77881.5013509314
20,723.697704650064,793.837524312559,78.6,1,0,0.00502337305735611,0.0159208287544277,34.2220663951736,-119.445858697048,34.658660849648,-118.752849987409,79972.4046033031
21,562.130461170479,763.564642643516,76.9,1,0,0.0043041494051812,0.048457692245283,34.2492031915467,-119.456435720567,34.6522293290118,-118.761729018587,77884.0058124574
22,530.543308701483,789.659679133533,77.4,1,0,0.00458523793166803,0.0354469052394365,34.2312644674483,-119.457318939697,34.6547675987386,-118.776122864947,78227.932842155
23,675.479231323541,775.854380252551,78.8,1,0,0.00468332595931302,0.016997739952588,34.234851104115,-119.461230637802,34.6635934614693,-118.759158181077,80106.3755830691
24,535.35234629542,793.181460013648,76.5,1,0,0.00515339275738773,0.0120912020559232,34.2387821044084,-119.447303651805,34.6475339900536,-118.763227864229,77465.2534675911
25,636.807691475062,779.756190737366,77.9,1,0,0.00483703875187012,0.0356107196351442,34.2289059124273,-119.448944671397,34.6751548334292,-118.776700056922,79129.7256875437
26,556.09034492602,784.633224891767,78.9,1,0,0.00483093193193802,0.0154300303807204,34.2165914805831,-119.462391837477,34.6623927283772,-118.779180477328,79891.9632578898
27,612.10060924435,789.806375617358,79.2,1,0,0.00489138222708226,0.0201755788588395,34.2177321378315,-119.456837461103,34.6615008112475,-118.764934119007,80379.5643623961
28,577.205897267983,791.073485063791,77.8,1,0,0.0050316936235257,0.042858123865243,34.2365716268062,-119.455688862361,34.6683935689493,-118.772874808604,78900.2718218868
29,537.719014494082,793.82926880413,78.4,0,0,0.00438328924533484,0.0143840381518578,34.2459580384377,-119.459223732432,34.6446583989762,-118.744087447164,79156.4918886331
30,606.677719328685,782.752936699914,77.7,1,0,0.00459360862718452,0.0277644986543908,34.2367762230688,-119.456654815181,34.6639830951351,-118.770509420288,78833.8459173807
31,514.462170631597,759.371633619135,76.2,1,0,0.00495519052337278,0.0237872972604595,34.2512887022824,-119.456423136837,34.647384385848,-118.767889408002,76979.1266551431
32,516.265891829981,789.051823760487,76.1,1,0,0.00484236036441067,0.0256125991710421,34.235594108737,-119.444454693352,34.6553065926707,-118.777664908262,76919.2706649436
33,529.943178940979,767.196298827522,77.2,1,0,0.00444697783622328,0.0288533693467516,34.222211846835,-119.457798689992,34.6573813971303,-118.793906299798,77769.1165756758
34,570.44687893326,768.835180488335,77,1,0,0.00507355512263821,0.0209773203881766,34.2391047316996,-119.450490506747,34.6623467000549,-118.771157372558,78069.4932114526
35,554.437910645216,777.054625954358,78,1,0,0.00454136611829208,0.0125184582812132,34.2154504673142,-119.44545698218,34.6627805079063,-118.775777945059,79029.6138309754
36,523.766583932639,782.470053795422,76.5,1,0,0.00498876455541303,0.0274543923063163,34.2302765253406,-119.451915445035,34.6563096074357,-118.787858808828,77150.9843005966
37,546.850773140389,789.661245661871,77.7,1,0,0.00454167295007983,0.0106463668657565,34.2278742042312,-119.45544541574,34.6568921394722,-118.773169993258,78677.6552401869
38,501.092579556532,757.517204352969,75,1,0,0.00458097348314886,0.0107521169619521,34.2515934166928,-119.447398525549,34.6541621109086,-118.781950210164,75674.2232981234
39,957.663064982803,781.82326434106,79.7,1,0,0.00439286547680747,0.0122214349956882,34.2273081990323,-119.448500002911,34.6749952877985,-118.746193597051,81393.4367400111
40,535.751327157191,766.277016991953,77.6,1,0,0.00480415493130034,0.026518980095836,34.2160810195006,-119.45510493621,34.6583932129286,-118.791360282795,78256.6636038258
41,701.054809021587,777.533652702159,79.2,1,0,0.00477174835880436,0.0171527875747355,34.2276087928834,-119.460733119321,34.6636586942016,-118.759344454583,80544.7261585231
42,626.281288849297,780.334971364119,76.6,1,0,0.00441072488177034,0.0270079798340761,34.2422597092986,-119.447740820458,34.6548136615551,-118.763071502186,77754.7299713707
43,706.439695459487,791.904450542066,79.3,1,0,0.00464263141670712,0.0133940106360982,34.2491263439049,-119.470032997383,34.6822398072413,-118.764064322649,80672.6914863114
44,671.661074722646,769.039229728863,78.3,1,0,0.00435212497221703,0.00904157529411939,34.2466895720749,-119.460758214524,34.6720755559117,-118.762917809468,79566.1908683012
45,617.861110996142,763.921826602437,78.7,1,0,0.00462503947729142,0.0283523489592368,34.2542116037562,-119.477008658451,34.6529640676268,-118.752806279918,79844.3094295826
46,545.509039080568,771.074958880231,78.6,1,0,0.00455301250032916,0.00777001907695682,34.2225902176465,-119.468626786038,34.6651353495786,-118.788786912525,79422.3435207255
47,554.150630032517,792.396220041452,77.6,1,0,0.00428101270899971,0.0387472984723821,34.2359302697284,-119.457888081212,34.6485840513964,-118.761528681495,78633.1282067771
48,562.257464634157,794.039394236125,78.6,1,0,0.00421366893388056,0.0117805837186766,34.24813711706,-119.481474649979,34.6423729049332,-118.75606049898,79664.7986186652
49,540.32672256339,768.924520992881,78.1,1,0,0.00500918322407031,0.0107057471514862,34.2256760256025,-119.458661192872,34.6572279153425,-118.774428515437,78991.8592580797
50,519.172845550239,765.814882601203,76.3,1,0,0.00456556939952968,0.0130397047363916,34.2349967731869,-119.442489092455,34.6534077166707,-118.771510536012,77138.3026349102
51,548.812844932256,769.403512718507,77.6,1,0,0.00471010742329485,0.0358013676529362,34.2384517823646,-119.459864879137,34.654779672037,-118.767794284599,78551.4661911293
52,591.445445887057,792.449896649144,77.8,1,0,0.00443816948771076,0.0100232014047815,34.231435862664,-119.452671498013,34.6560636285438,-118.763076496428,78918.6060735748
53,566.295032467334,780.388523523635,77.8,1,0,0.00466674602785292,0.0193083061415063,34.2313907685879,-119.454852183315,34.6609304833027,-118.770567093688,78857.1513651733
54,539.340787639846,792.057579550485,78,1,0,0.00422247192360282,0.0230641427948611,34.2393561000222,-119.46292520019,34.6656992406864,-118.774628613445,78932.334363544
55,541.33708946721,786.089296924363,78.2,1,0,0.00470378933492728,0.00963912242671426,34.2231537856046,-119.464767432224,34.6534155906688,-118.777727632848,79111.5561550476
56,555.614934949888,778.37353295818,78.1,1,0,0.00427234381438596,0.0270164135893743,34.235116521448,-119.464186521028,34.654445112639,-118.767657048492,79079.5553085779
57,545.855308118755,771.299239140287,77.6,1,0,0.00495825384109336,0.057738862655657,34.2307636084407,-119.452464261164,34.6617930814143,-118.774404872474,78504.6178647233
58,531.725835311777,778.225929844273,77.2,1,0,0.00468505840771887,0.0320049032906457,34.2242081226493,-119.465610463455,34.644145982706,-118.787514517392,77767.6826217582
59,573.841795980263,778.730770808526,79.9,1,0,0.00496023182413381,0.0461435128164046,34.2170358120933,-119.473920419067,34.6488134641834,-118.76372176397,80916.4410311281
60,542.162210512158,767.31555211964,76.2,1,0,0.00448989831708446,0.0128633187752843,34.2438478260589,-119.445239147148,34.6626257724771,-118.773984639966,77177.791791728
61,656.621909162863,784.911092805565,79.7,1,0,0.00474792868032772,0.00989608298354256,34.2300020333067,-119.467006380689,34.6753733564729,-118.768400888612,80966.5445482156
62,558.655995879218,768.263696477767,77.6,1,0,0.00437474707909503,0.0128210128255714,34.2391632763005,-119.463749823653,34.6670382080834,-118.781050416196,78625.2159548202
